mean_err,jerk,success,misalign,reaction,method,delta,trial
0.026900115155767335,0.000961595775793594,0.765,0.0,7.0,Sync,0,0
0.02963545359605672,0.000961595775793594,0.7516666666666667,0.0,7.533333333333333,Naive-Async,0,0
0.02963545359605672,0.000961595775793594,0.7516666666666667,0.0,7.533333333333333,VLASH,0,0
0.03170759787074674,0.0011492385583335416,0.775,0.0,7.666666666666667,Sync,0,1
0.03170759787074674,0.0011492385583335416,0.775,0.0,7.666666666666667,Naive-Async,0,1
0.03170759787074674,0.0011492385583335416,0.775,0.0,7.666666666666667,VLASH,0,1
0.03346569929488618,0.0011531527131683995,0.755,0.0,8.266666666666667,Sync,0,2
0.03346569929488618,0.0011531527131683995,0.755,0.0,8.266666666666667,Naive-Async,0,2
0.03346569929488618,0.0011531527131683995,0.755,0.0,8.266666666666667,VLASH,0,2
0.024298722137272046,0.0010772798236522922,0.8333333333333334,0.0,5.266666666666667,Sync,0,3
0.03423208690066077,0.0010772798236522922,0.7933333333333333,0.0,6.866666666666666,Naive-Async,0,3
0.03423208690066077,0.0010772798236522922,0.7933333333333333,0.0,6.866666666666666,VLASH,0,3
0.023185026177905257,0.0008693207612061314,0.7883333333333333,0.0,7.142857142857143,Sync,0,4
0.032746338816887134,0.0008693207612061314,0.735,0.0,9.428571428571429,Naive-Async,0,4
0.032746338816887134,0.0008693207612061314,0.735,0.0,9.428571428571429,VLASH,0,4
0.03691300743567673,0.0011122104813823038,0.7516666666666667,0.0,9.285714285714286,Sync,0,5
0.03691300743567673,0.0011122104813823038,0.7516666666666667,0.0,9.285714285714286,Naive-Async,0,5
0.03691300743567673,0.0011122104813823038,0.7516666666666667,0.0,9.285714285714286,VLASH,0,5
0.03538645289522792,0.0011170258459833912,0.7583333333333333,0.0,8.928571428571429,Sync,0,6
0.03867777234686755,0.0011170258459833912,0.745,0.0,9.5,Naive-Async,0,6
0.03867777234686755,0.0011170258459833912,0.745,0.0,9.5,VLASH,0,6
0.024786141781787285,0.001009577466956521,0.8133333333333334,0.0,6.571428571428571,Sync,0,7
0.03186274793560106,0.001009577466956521,0.7733333333333333,0.0,8.285714285714286,Naive-Async,0,7
0.03186274793560106,0.001009577466956521,0.7733333333333333,0.0,8.285714285714286,VLASH,0,7
0.024297932410300663,0.0007378667719505617,0.7683333333333333,0.0,7.428571428571429,Sync,0,8
0.025324758091536097,0.0007378667719505617,0.755,0.0,8.0,Naive-Async,0,8
0.025324758091536097,0.0007378667719505617,0.755,0.0,8.0,VLASH,0,8
0.030809365489166365,0.0010709888258650388,0.78,0.0,7.857142857142857,Sync,0,9
0.03737476093055737,0.0010709888258650388,0.74,0.0,9.571428571428571,Naive-Async,0,9
0.03737476093055737,0.0010709888258650388,0.74,0.0,9.571428571428571,VLASH,0,9
0.0254661004976801,0.0009755986233954106,0.7783333333333333,0.0,6.933333333333334,Sync,0,10
0.03511433197213807,0.0009755986233954106,0.7383333333333333,0.0,8.533333333333333,Naive-Async,0,10
0.03511433197213807,0.0009755986233954106,0.7383333333333333,0.0,8.533333333333333,VLASH,0,10
0.021543116181446966,0.0007817894663847534,0.8283333333333334,0.0,5.133333333333334,Sync,0,11
0.026910950201790004,0.0007817894663847534,0.8016666666666666,0.0,6.2,Naive-Async,0,11
0.026910950201790004,0.0007817894663847534,0.8016666666666666,0.0,6.2,VLASH,0,11
0.03350018474259669,0.0011082850495481083,0.7716666666666666,0.0,9.933333333333334,Sync,0,12
